sex,age_sim,lv_educ,empl_stat,marit_stat,house_memb,chil_u_18_y,nation,religion,soc_econ_stat,prof_ind,prof_stat,count_house,own_field,num_car_house,own_rent_house,edu,temperam,ind_risk_sim,invest_exp_sim,shares,corp_oblig,oth,inv_fund,cash,crypto,gov_bond,deposits,income_sim,pers_exp_sim,house_exp_sim,taxes_sim,transp_telecom_sim,hobby_sim,banking,bk_oprat,bk_dc,bk_cc,bk_acc,ins_prop,ins_life,ins_casco,health_ins,overdraft,cons_cred,mortgage,car_leas,pens_ins
1,39,3,2,1,2,0,1,2,0,3,3,0,0,0,0,3,2,0.31903863,1,0,0,0,0,0,0,0,0,17517,4281,353,633,848,278,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1,43,4,3,1,2,1,1,3,0,3,3,1,0,0,0,3,2,0.35820934,1,0,0,0,0,0,0,0,0,15119,4375,379,652,945,316,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,4,3,1,2,1,1,3,0,4,3,1,0,0,1,3,2,0.4317323,0,0,0,0,0,0,0,0,1,16201,4539,579,655,1068,327,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,44,3,3,2,2,1,1,3,0,4,4,0,0,1,1,3,2,0.3631807,0,0,0,0,0,0,0,0,0,14325,4323,468,794,1010,307,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,4,3,1,2,1,1,3,0,4,3,1,0,0,1,3,2,0.47198343,0,0,0,0,0,0,0,0,1,20000,4589,532,655,1153,337,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,39,4,3,1,2,1,1,3,0,5,4,1,0,1,1,4,2,0.42728502,1,0,0,0,0,0,0,0,1,16928,4400,603,817,802,331,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,45,4,3,2,2,1,1,4,1,6,4,1,0,1,1,6,3,0.69207585,3,0,0,0,0,0,0,0,1,19454,4695,1183,1476,1400,499,0,4,2,0,1,0,0,0,0,1,0,0,0,0
1,42,4,3,1,2,1,1,3,0,4,3,1,0,1,1,4,2,0.5022213,2,0,0,0,0,0,0,0,1,17172,4450,498,1059,1101,316,0,3,1,0,1,0,0,0,0,1,0,0,0,0
1,39,4,3,1,2,1,1,3,0,4,3,1,0,1,1,3,2,0.40921485,0,0,0,0,0,0,0,0,1,17198,4498,497,696,926,340,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,44,3,3,2,2,1,1,2,0,3,3,0,0,0,0,3,2,0.31790426,0,0,0,0,0,0,0,0,0,16038,4437,383,606,1011,320,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,43,4,3,1,2,1,1,3,0,4,2,1,0,0,0,3,2,0.4207854,1,0,0,0,0,0,0,0,1,18365,4508,316,684,1046,263,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,51,3,4,2,2,2,1,3,0,4,3,1,0,0,0,4,3,0.54000145,0,0,0,0,0,0,0,0,1,22122,4695,800,622,1382,525,0,4,1,0,1,0,0,0,0,0,0,0,0,0
2,51,4,3,1,2,1,1,3,0,4,3,1,0,1,0,4,3,0.41929206,0,0,0,0,0,0,0,0,1,18477,4714,289,813,1096,297,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,44,3,3,2,2,1,1,3,0,3,3,0,0,0,1,3,2,0.39282912,1,0,0,0,0,0,0,0,0,14790,4534,603,720,1131,331,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,46,4,3,2,2,1,1,3,0,5,3,1,0,1,1,4,3,0.55161273,0,0,0,0,0,0,0,0,1,19607,4590,441,855,1176,348,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,50,3,4,2,1,1,1,3,0,3,2,1,0,0,0,3,3,0.42587543,0,0,0,0,0,0,0,0,1,21610,4836,444,547,1470,287,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,1,2,1,1,3,0,5,4,1,0,1,1,3,3,0.39127496,1,0,0,0,0,0,0,0,1,19973,4464,586,673,885,379,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,43,4,3,2,2,1,1,3,0,4,4,1,0,1,1,3,3,0.37723383,0,0,0,0,0,0,0,0,1,17658,4330,566,815,889,347,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,4,3,1,2,1,1,3,0,4,3,1,0,1,1,3,2,0.39123157,1,0,0,0,0,0,0,0,1,18002,4331,373,794,879,291,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,46,4,3,1,2,1,1,3,0,5,3,1,0,0,1,4,3,0.5430011,0,0,0,0,0,0,0,0,1,25889,4737,673,631,1308,345,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,4,3,1,2,1,1,3,0,5,4,1,0,1,1,4,2,0.44449145,1,0,0,0,0,0,0,0,1,18136,4426,469,845,842,327,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,2,2,1,1,3,0,4,3,0,0,1,1,3,2,0.3370002,2,0,0,0,0,0,0,0,1,13677,4343,479,669,917,342,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,37,3,2,1,1,1,1,2,0,3,3,0,0,0,0,3,2,0.32893845,1,0,0,0,0,0,0,0,0,14674,4274,278,667,793,248,0,2,1,0,1,0,0,0,0,0,0,0,0,0
1,39,4,3,1,2,1,1,3,0,4,3,1,0,1,1,3,2,0.43134028,1,0,0,0,0,0,0,0,1,13194,4477,602,820,1048,346,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,43,4,3,1,2,0,1,2,0,4,4,0,0,1,1,3,2,0.37453654,0,0,0,0,0,0,0,0,0,21344,4238,453,772,797,285,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1,45,4,3,2,2,1,1,2,0,4,3,1,0,1,1,4,3,0.35674733,1,0,0,0,0,0,0,0,1,11940,4541,694,646,1116,391,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,49,4,3,2,1,0,1,2,0,3,2,1,0,1,0,4,3,0.3546138,0,0,0,0,0,0,0,0,1,22208,4501,228,927,1052,224,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1,46,4,3,2,2,1,1,3,1,5,3,1,0,1,1,3,3,0.45366907,0,0,0,0,0,0,0,0,1,15517,4503,656,786,1133,456,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,1,1,0,1,2,0,3,4,0,0,1,1,4,2,0.3780968,1,0,0,0,0,0,0,0,0,21856,4156,298,1010,863,227,0,3,0,0,1,0,0,0,0,1,0,0,0,0
1,40,4,3,1,2,1,1,3,0,4,3,1,0,1,1,4,2,0.3814828,1,0,0,0,0,0,0,0,0,17992,4288,486,919,786,310,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,4,3,1,2,1,1,3,0,4,4,1,0,1,1,3,2,0.39605048,1,0,0,0,0,0,0,0,1,16736,4348,425,785,823,306,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,43,4,3,1,2,0,1,3,0,5,4,1,0,1,1,5,3,0.49105,3,0,0,0,0,0,0,0,1,18445,4302,623,1180,958,372,0,3,1,0,1,0,0,0,0,1,0,0,0,0
1,40,4,3,1,2,1,1,3,0,4,4,1,0,1,1,4,2,0.45989642,3,0,0,0,0,0,0,0,1,21683,4357,601,1063,972,364,0,3,1,0,1,0,0,0,0,1,0,0,0,0
1,44,3,3,2,2,1,1,3,0,4,3,1,0,0,0,3,3,0.40988377,0,0,0,0,0,0,0,0,1,17490,4549,518,601,1159,353,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,44,4,3,2,2,1,1,3,0,5,4,1,0,1,1,4,3,0.47340673,1,0,0,0,0,0,0,0,1,25048,4330,497,876,822,316,0,4,1,0,1,0,0,0,0,1,0,0,0,0
1,42,4,3,1,2,0,1,3,0,4,4,0,0,1,1,4,2,0.39296004,3,0,0,0,0,0,0,0,0,20161,4357,420,987,750,312,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,4,3,1,2,1,2,3,1,6,3,1,0,1,1,4,3,0.624535,0,0,0,0,0,0,0,0,1,35336,4445,452,878,1023,278,0,4,1,0,1,0,0,0,0,1,0,0,0,0
1,40,4,3,1,2,1,1,2,0,4,3,1,0,1,1,3,2,0.41797793,1,0,0,0,0,0,0,0,1,15991,4438,464,690,930,288,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,4,3,1,1,1,1,2,0,4,3,0,0,1,1,4,2,0.4328232,1,0,0,0,0,0,0,0,0,20903,4402,397,778,832,269,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,44,4,3,1,2,1,1,3,0,5,3,1,0,0,1,3,3,0.4446465,0,0,0,0,0,0,0,0,1,15335,4565,744,618,1076,413,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,37,4,3,1,2,1,1,3,0,5,4,1,0,1,1,4,2,0.5115863,1,0,0,0,0,0,0,0,1,19655,4452,680,975,907,337,0,3,1,0,1,0,0,0,0,1,0,0,0,0
1,42,4,3,1,2,1,1,3,0,4,4,1,0,1,0,3,2,0.4180119,2,0,0,0,0,0,0,0,1,17258,4441,246,675,932,333,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,4,3,2,2,1,1,3,0,4,3,0,0,1,1,3,2,0.36938348,1,0,0,0,0,0,0,0,0,12881,4341,553,743,880,330,0,3,1,0,1,0,0,0,0,0,0,0,0,0
