ind,sex,age_sim,lv_educ,empl_stat,marit_stat,house_memb,chil_u_18_y,nation,religion,soc_econ_stat,prof_ind,prof_stat,count_house,own_field,num_car_house,own_rent_house,edu,temperam,ind_risk_sim,invest_exp_sim,shares,corp_oblig,oth,inv_fund,cash,crypto,gov_bond,deposits,income_sim,pers_exp_sim,house_exp_sim,taxes_sim,transp_telecom_sim,hobby_sim,banking,bk_oprat,bk_dc,bk_cc,bk_acc,ins_prop,ins_life,ins_casco,health_ins,overdraft,cons_cred,mortgage,car_leas,pens_ins,.,lv_educ,empl_stat,marit_stat,house_memb,chil_u_18_y,nation,religion,soc_econ_stat,prof_ind,prof_stat,count_house,own_field,num_car_house,own_rent_house,edu,temperam,ind_risk_sim,invest_exp_sim,shares,corp_oblig,oth,inv_fund,cash,crypto,gov_bond,deposits,income_sim,pers_exp_sim,house_exp_sim,taxes_sim,transp_telecom_sim,hobby_sim,banking,bk_oprat,bk_dc,bk_cc,bk_acc,ins_prop,ins_life,ins_casco,health_ins,overdraft,cons_cred,mortgage,car_leas,pens_ins,,total
10001,2,52,4,4,3,2,0,1,3,0,12,6,0,0,0,1,3,1,0.76,0,0,0,0,0,0,0,0,1,6133,4296,156,15,705,721,0,2,2,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10002,2,66,3,3,4,4,0,1,3,0,10,6,0,0,0,1,3,1,0.56,3,0,0,0,0,0,0,0,1,11579,4538,1329,690,1492,870,0,3,2,1,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10003,2,40,4,3,2,4,0,1,3,1,2,5,0,0,0,0,3,3,0.82,0,0,0,0,0,0,0,0,1,6998,4761,1289,675,1244,815,0,2,1,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10004,2,74,5,4,2,5,2,1,3,1,9,2,1,0,0,1,7,4,0.49,0,0,0,0,0,0,0,0,0,5609,4057,375,114,834,583,0,3,2,0,1,0,0,0,0,0,0,0,1,0,,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10005,2,54,3,4,2,4,0,1,4,1,10,6,0,0,0,1,7,1,0.44,0,0,0,0,1,0,0,0,1,10536,4518,794,658,1497,693,1,4,1,1,1,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,1
10006,1,40,4,3,4,7,4,1,3,1,10,6,0,0,0,1,7,4,0.77,0,0,0,0,0,0,0,0,1,5529,4098,491,321,588,66,0,3,3,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10007,2,27,4,1,1,1,1,1,3,0,2,5,1,0,0,1,3,1,0.68,0,0,0,0,0,0,0,0,1,20006,5384,2993,1212,1918,833,0,3,1,0,1,0,1,0,0,1,0,0,1,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10008,2,35,4,3,1,3,1,1,3,1,4,5,1,0,0,0,5,3,0.64,0,0,0,0,0,0,0,0,0,20718,5016,1600,1444,1555,611,1,3,1,0,1,0,0,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,,1
10009,2,73,5,3,1,3,2,1,3,1,12,2,0,0,1,1,8,1,0.56,0,0,0,0,0,0,0,0,1,21781,5215,2271,1992,1776,847,0,2,1,0,1,0,0,0,0,0,0,0,0,0,,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10010,1,59,4,3,2,3,0,1,3,1,2,4,1,0,1,1,5,3,0.58,0,0,0,0,0,0,0,0,1,5534,4070,125,156,577,714,0,4,1,0,0,0,0,0,0,1,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,1
10011,1,59,1,3,1,1,0,2,3,0,5,3,1,0,0,1,3,4,0.91,0,0,0,0,0,0,0,0,1,9650,4519,892,654,1482,600,0,2,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10012,1,26,4,3,2,1,2,1,6,1,2,2,0,0,0,0,3,4,0.49,0,0,0,0,0,0,0,0,1,11451,4505,987,558,1235,726,0,2,2,0,1,0,0,0,0,1,1,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10013,1,47,1,3,2,2,2,1,3,0,11,2,1,1,1,1,7,4,0.67,0,0,0,0,0,0,0,0,1,5480,4075,273,151,907,900,0,4,2,0,1,0,0,0,0,0,0,0,1,0,,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10014,2,60,4,4,2,4,0,1,3,1,8,1,1,0,0,1,5,1,0.54,0,0,0,0,0,0,0,1,1,7114,4543,831,771,1144,575,0,4,1,0,1,0,0,0,0,0,1,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10015,1,26,4,3,4,5,1,1,3,0,9,2,0,0,0,1,5,4,0.46,4,0,0,0,0,0,0,0,1,10272,4517,621,761,1237,803,0,3,3,0,1,0,1,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10016,2,43,4,3,2,2,0,1,3,1,10,2,1,1,0,0,3,3,0.45,3,0,0,0,0,0,0,0,1,5575,4324,458,109,989,123,0,2,1,0,1,0,0,1,0,0,1,0,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,1
10017,2,32,1,3,2,2,1,1,7,0,1,6,1,0,1,1,3,3,0.36,4,0,0,0,1,0,0,0,1,5316,4494,458,10,510,546,0,3,1,0,1,0,0,0,0,0,1,0,0,0,,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10018,1,34,5,4,4,2,1,1,3,1,5,2,0,1,1,1,3,4,0.65,1,0,0,0,0,0,0,0,1,6976,4900,649,660,1459,698,0,3,2,1,1,0,1,0,0,0,0,0,0,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,,1
10019,2,69,4,3,1,5,1,1,4,1,10,2,0,1,0,1,3,4,0.70,0,0,0,0,0,0,0,0,1,18045,5443,2235,1548,1780,752,0,3,1,0,1,1,0,0,0,0,0,0,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,1
10020,1,31,4,4,1,2,0,1,3,1,9,2,1,0,1,1,3,4,0.66,0,0,0,0,0,0,0,0,1,6166,4478,376,355,563,994,0,3,1,0,1,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10021,2,83,3,3,4,2,2,1,7,1,7,5,0,0,1,1,5,2,0.48,0,0,0,0,0,0,0,0,1,5331,4057,24,437,876,725,0,4,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0
10022,2,18,4,3,3,1,1,1,3,1,5,5,1,0,1,1,5,4,0.44,0,0,0,0,0,0,0,0,1,10329,4938,721,915,1385,839,0,2,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10023,2,45,4,3,2,2,0,1,7,1,8,2,1,1,1,1,3,1,0.54,0,0,0,0,0,0,0,0,1,5408,4148,371,452,814,28,0,2,1,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10024,2,29,4,3,2,3,1,1,7,1,11,5,0,0,1,1,8,1,0.47,0,0,0,0,0,0,0,0,1,5373,4039,549,371,788,723,0,3,1,0,1,0,0,0,0,1,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10025,2,43,1,3,3,1,0,1,3,0,10,2,1,0,0,1,5,3,0.68,0,0,0,0,0,0,0,0,1,5929,4212,391,419,623,553,1,4,2,1,1,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10026,2,46,4,1,1,1,3,1,3,0,4,3,0,0,1,1,3,2,0.59,2,0,0,0,0,0,0,0,1,11636,4810,1169,612,1093,799,1,4,1,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10027,2,37,5,3,4,4,0,1,3,1,7,5,1,1,0,1,1,4,0.75,3,0,0,0,0,0,0,0,1,5581,4393,564,64,664,722,0,3,2,0,1,0,0,0,0,1,0,0,1,0,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,,1
10028,1,62,3,3,2,2,0,1,4,1,10,5,1,0,1,1,9,3,0.50,0,0,0,0,0,0,0,0,1,7929,4865,1174,842,1118,986,0,3,1,0,1,0,0,0,0,1,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,,1
10029,2,26,3,4,1,4,1,1,7,1,5,2,0,1,0,1,3,3,0.45,0,0,0,0,0,0,0,0,1,25042,5201,2758,1316,1932,636,1,3,1,0,1,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10030,2,36,4,3,2,3,1,1,3,0,5,2,2,0,1,1,3,1,0.49,0,0,0,0,0,0,0,0,1,5319,4493,45,423,674,125,0,4,1,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
